id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie,wysoki_opad
12295,Białystok,2024-05-21,22,12.5,1.0,90.0,96.1,14.2,1015.6,1
12600,Bielsko Biała,2024-05-21,22,18.9,4.0,120.0,62.4,6.6,1008.5,1
12235,Chojnice,2024-05-21,21,17.2,3.0,50.0,79.6,3.0,1013.0,1
12550,Częstochowa,2024-05-21,22,19.0,2.0,60.0,62.4,0.0,1009.5,0
12160,Elbląg,2024-05-21,21,17.6,3.0,70.0,69.7,2.4,1014.5,1
12155,Gdańsk,2024-05-21,22,19.0,5.0,80.0,65.5,0.1,1014.1,0
12300,Gorzów,2024-05-21,22,20.1,6.0,80.0,67.4,1.6,1009.5,1
12135,Hel,2024-05-21,22,15.3,4.0,70.0,90.0,1.5,1014.8,1
12500,Jelenia Góra,2024-05-21,21,14.8,1.0,250.0,93.0,0.0,1008.5,0
12435,Kalisz,2024-05-21,22,20.5,4.0,70.0,54.2,0.0,1009.7,0
12650,Kasprowy Wierch,2024-05-21,22,7.2,8.0,220.0,95.2,10.4,1011.5796610169492,1
12560,Katowice,2024-05-21,22,18.9,3.0,60.0,65.4,0.0,1008.6,0
12185,Kętrzyn,2024-05-21,21,16.9,2.0,70.0,76.4,2.4,1015.1,1
12570,Kielce,2024-05-21,22,18.7,3.0,90.0,66.3,0.0,1010.5,0
12520,Kłodzko,2024-05-21,22,15.4,1.0,300.0,87.7,0.5,1008.0,0
12345,Koło,2024-05-21,22,19.3,3.0,90.0,60.5,5.2,1011.1,1
12100,Kołobrzeg,2024-05-21,22,9.3,5.0,70.0,94.0,2.4,1012.4,1
12105,Koszalin,2024-05-21,22,18.0,2.0,70.0,73.6,14.6,1012.6,1
12488,Kozienice,2024-05-21,21,14.0,0.0,0.0,83.5,0.0,1012.7,0
12566,Kraków,2024-05-21,22,17.5,4.0,40.0,76.5,0.0,1009.1,0
12670,Krosno,2024-05-21,22,16.7,3.0,90.0,76.4,0.1,1010.4,0
12415,Legnica,2024-05-21,22,17.9,1.0,140.0,82.8,0.0,1008.0,0
12690,Lesko,2024-05-21,22,15.2,1.0,90.0,85.9,3.4,1011.2,1
12418,Leszno,2024-05-21,22,22.2,3.0,90.0,47.4,0.0,1008.7,0
12125,Lębork,2024-05-21,22,15.7,3.0,60.0,90.0,0.3,1014.2,0
12495,Lublin,2024-05-21,22,17.9,2.0,90.0,73.6,1.2,1012.3,1
12120,Łeba,2024-05-21,22,13.2,4.0,60.0,96.1,2.1,1014.3,1
12465,Łódź,2024-05-21,21,19.1,3.0,70.0,55.3,0.0,1011.1,0
12280,Mikołajki,2024-05-21,22,15.5,1.0,90.0,81.0,4.5,1015.6,1
12270,Mława,2024-05-21,22,17.9,2.0,80.0,63.5,0.5,1013.7,0
12660,Nowy Sącz,2024-05-21,22,15.7,3.2,89.9672131147541,86.5,0.6,1010.2,1
12272,Olsztyn,2024-05-21,21,18.5,3.0,80.0,64.5,7.2,1014.4,1
12530,Opole,2024-05-21,22,19.0,3.0,70.0,62.4,0.0,1008.0,0
12285,Ostrołęka,2024-05-21,21,18.3,3.2,99.0,63.6,0.0,1014.3,0
12230,Piła,2024-05-21,22,19.1,3.0,70.0,71.4,0.6,1011.3,1
12001,Platforma,2024-05-21,22,15.3,11.0,70.0,80.9,0.0,1015.6,0
12360,Płock,2024-05-21,22,18.3,4.0,90.0,63.6,0.3,1012.5,0
12330,Poznań,2024-05-21,22,19.8,5.0,90.0,60.6,0.01,1009.9,0
12695,Przemyśl,2024-05-21,22,17.4,1.0,99.0,73.5,2.3,1011.1,1
12540,Racibórz,2024-05-21,22,20.0,2.0,130.0,67.4,0.0,1007.7,0
12210,Resko,2024-05-21,22,18.3,3.0,70.0,71.7,6.6,1011.6,1
12580,Rzeszów,2024-05-21,22,16.7,3.0,70.0,82.7,0.01,1011.0,0
12585,Sandomierz,2024-05-21,22,17.8,2.0,50.0,71.6,0.2,1010.9,0
12385,Siedlce,2024-05-21,21,17.3,1.0,30.0,67.4,6.9,1013.9,1
12310,Słubice,2024-05-21,22,21.4,3.0,80.0,50.2,4.4,1008.3,1
12469,Sulejów,2024-05-21,22,19.9,3.0,70.0,57.4,0.0,1010.4,0
12195,Suwałki,2024-05-21,22,14.0,3.0,60.0,91.1,1.1,1016.6,1
12205,Szczecin,2024-05-21,22,19.4,3.0,100.0,68.6,16.5,1010.4,1
12215,Szczecinek,2024-05-21,22,17.0,3.0,70.0,78.0,0.5,1012.5,0
12510,Śnieżka,2024-05-21,22,9.2,13.0,120.0,89.6,0.0,1011.5796610169492,0
12200,Świnoujście,2024-05-21,22,13.3,7.0,70.0,91.7,0.0,1011.7,0
12575,Tarnów,2024-05-21,22,16.7,1.0,130.0,77.4,0.2,1009.6,0
12399,Terespol,2024-05-21,22,15.9,2.0,70.0,86.0,8.8,1014.3,1
12250,Toruń,2024-05-21,21,20.0,2.0,50.0,61.4,0.6,1012.0,1
12115,Ustka,2024-05-21,22,9.8,5.0,70.0,98.0,0.9,1013.8,1
12375,Warszawa,2024-05-21,22,19.3,5.0,90.0,60.5,0.0,1012.7,0
12455,Wieluń,2024-05-21,22,20.4,2.0,70.0,56.4,0.0,1009.4,0
12497,Włodawa,2024-05-21,22,15.8,2.0,30.0,82.6,4.8,1013.4,1
12424,Wrocław,2024-05-21,22,22.5,4.0,70.0,54.2,0.0,1007.7,0
12625,Zakopane,2024-05-21,22,13.8,1.0,340.0,74.4,12.3,1011.5796610169492,1
12595,Zamość,2024-05-21,22,16.3,2.0,90.0,83.8,1.5,1012.4,1
12400,Zielona Góra,2024-05-21,22,21.4,3.0,80.0,50.1,3.1,1008.3,1
